First Name;Last Name;English; Maths;Science;German;Sports;Final Grade;
Robyn;Hobgood;60,95;24,77;20,6;69,32;8,36;184;36,8
Eddy;Swearngin;100;12,99;100;52,24;100;365,23;73,046
Leoma;Bridgman;83,37;100;78,69;100;19,5;381,56;76,312
Arnetta;Peart;87,75;100;86,93;87,9;41,73;404,31;80,862
Maryland;Colby;100;100;100;18,87;88,72;407,59;81,518
Sherron;Sherron;92,06;55,91;93,93;-56,74;77,71;262,87;52,574
Glendora;Christopher;78,26;100;25,6;100;100;403,86;80,772
Darlena;Gunn;100;64,53;100;23,21;79,01;366,75;73,35
Aldo;Armas;100;83,49;100;100;92,32;475,81;95,162
Tiny;Jack;94,35;33,09;82,57;31,13;100;341,14;68,228
Carlton;Elms;100;36,52;5,54;33,82;12,07;187,95;37,59
Lauretta;Herbert;50,73;-0,1;67,76;100;55,98;274,37;54,874
Almeta;Dimond;80,37;100;69,02;100;79,62;429,01;85,802
Phoebe;Schill;100;70,37;100;47;77,37;394,74;78,948
Krystyna;Paris;18,75;73,8;87;59,3;100;338,85;67,77
Miyoko;Laffoon;100;100;100;34,98;94,55;429,53;85,906
Rebecca;Duck;70,79;97,81;52,25;19,76;-13,93;226,68;45,336
Elwanda;Hyland;45,69;74,86;43,1;45;76,72;285,37;57,074
Gretchen;Kerrick;68,7;75,87;-14,87;57,32;84,28;271,3;54,26
Winnifred;Colonna;83,79;100;85,66;3,94;100;373,39;74,678
Gidget;Casseus;100;100;100;99,52;62,59;462,11;92,422
Elaina;Mcdougal;100;100;80,29;100;-36,81;343,48;68,696
Shoshana;Goldberger;55,1;100;100;100;100;455,1;91,02
Argentina;Nelson;100;100;40,44;100;100;440,44;88,088
Lyle;Millsaps;100;71,88;100;-17,33;100;354,55;70,91
Janay;Julius;41,7;100;55,9;75,53;100;373,13;74,626
Devorah;Heyden;0,84;18,61;50,14;83,58;65,68;218,85;43,77
Thelma;Romberger;72,41;61;100;76,38;51,37;361,16;72,232
Armanda;Hendley;35,4;66,92;69,67;71,08;-2,34;240,73;48,146
Raymon;Myerson;49,83;27,36;61,9;72,97;13,11;225,17;45,034
